,,Proposition No. 96,
,,Ref on Amd to Indian Gaming Compact: Sycuan,
,, YES,NO
,Tulare,"2,333","1,854"
District Totals,,"30,497","22,563"
,Percent,57.5%,42.5%
,,,
State Assembly District 31,,,
,Fresno,"30,811","23,946"
,Tulare,"2,155","1,755"
District Totals,,"32,966","25,701"
,Percent,56.2%,43.8%
,,,
State Assembly District 32,,,
,Kern,"76,058","46,118"
,San Bernardino,242,158
District Totals,,"76,300","46,276"
,Percent,62.2%,37.8%
,,,
State Assembly District 33,,,
,San Luis Obispo,"54,919","34,110"
,Santa Barbara,"25,083","15,432"
District Totals,,"80,002","49,542"
,Percent,61.8%,38.2%
,,,
State Assembly District 34,,,
,Inyo,"3,608","2,620"
,Kern,"5,361","3,043"
,San Bernardino,"5,637","4,264"
,Tulare,"35,244","23,438"
District Totals,,"49,850","33,365"
,Percent,59.9%,40.1%
,,,
State Assembly District 35,,,
,Santa Barbara,"39,430","34,608"
,Ventura,"31,864","20,448"
District Totals,,"71,294","55,056"
,Percent,56.4%,43.6%
,,,
State Assembly District 36,,,
,Los Angeles,"40,523","23,426"
,San Bernardino,"19,892","12,850"
District Totals,,"60,415","36,276"
,Percent,62.5%,37.5%
,,,
State Assembly District 37,,,
,Kern,3,0
,Los Angeles,"12,889","7,366"
,Ventura,"78,130","45,440"
District Totals,,"91,022","52,806"
,Percent,63.3%,36.7%
,,,
State Assembly District 38,,,
,Los Angeles,"67,541","41,918"
,Ventura,"15,132","8,296"
District Totals,,"82,673","50,214"
,Percent,62.2%,37.8%
,,,
State Assembly District 39,,,
,Los Angeles,"36,117","20,025"
District Totals,,"36,117","20,025"
,Percent,64.3%,35.7%
,,,
State Assembly District 40,,,
,Los Angeles,"53,924","33,736"
District Totals,,"53,924","33,736"
,Percent,61.5%,38.5%
,,,
State Assembly District 41,,,
,Los Angeles,"62,287","43,307"
,Ventura,"17,818","10,273"
District Totals,,"80,105","53,580"
,Percent,59.9%,40.1%
,,,
State Assembly District 42,,,
,Los Angeles,"78,738","56,864"
District Totals,,"78,738","56,864"
,Percent,58.1%,41.9%
,,,
State Assembly District 43,,,
,Los Angeles,"54,225","38,829"
District Totals,,"54,225","38,829"
,Percent,58.3%,41.7%
,,,
State Assembly District 44,,,
,Los Angeles,"67,679","53,011"
District Totals,,"67,679","53,011"
,Percent,56.1%,43.9%
,,,
State Assembly District 45,,,
,Los Angeles,"36,973","26,168"
District Totals,,"36,973","26,168"
,Percent,58.6%,41.4%
,,,
State Assembly District 46,,,
,Los Angeles,"26,872","17,017"
District Totals,,"26,872","17,017"
,Percent,61.2%,38.8%
,,,
State Assembly District 47,,,
,Los Angeles,"63,485","50,549"
District Totals,,"63,485","50,549"
,Percent,55.7%,44.3%
,,,
State Assembly District 48,,,
,Los Angeles,"32,860","27,123"
District Totals,,"32,860","27,123"
,Percent,54.8%,45.2%
,,,
State Assembly District 49,,,
,Los Angeles,"40,197","26,295"
District Totals,,"40,197","26,295"
,Percent,60.5%,39.5%
,,,
State Assembly District 50,,,
,Los Angeles,"36,203","23,329"
District Totals,,"36,203","23,329"
,Percent,60.8%,39.2%
,,,
State Assembly District 51,,,
,Los Angeles,"48,396","37,297"
District Totals,,"48,396","37,297"
,Percent,56.5%,43.5%
,,,
State Assembly District 52,,,
,Los Angeles,"30,634","24,248"
District Totals,,"30,634","24,248"
,Percent,55.8%,44.2%
,,,
State Assembly District 53,,,
,Los Angeles,"79,296","54,918"
District Totals,,"79,296","54,918"
,Percent,59.1%,40.9%
,,,
State Assembly District 54,,,
,Los Angeles,"70,865","48,006"
District Totals,,"70,865","48,006"
,Percent,59.6%,40.4%
,,,
State Assembly District 55,,,
,Los Angeles,"48,586","32,879"
District Totals,,"48,586","32,879"
,Percent,59.6%,40.4%
,,,
State Assembly District 56,,,
,Los Angeles,"40,690","25,909"
,Orange,"9,015","5,821"
District Totals,,"49,705","31,730"
,Percent,61.0%,39.0%
,,,
State Assembly District 57,,,
,Los Angeles,"48,773","30,020"
District Totals,,"48,773","30,020"
,Percent,61.9%,38.1%
,,,
State Assembly District 58,,,
,Los Angeles,"53,932","34,623"
District Totals,,"53,932","34,623"
,Percent,60.9%,39.1%
,,,
State Assembly District 59,,,
,Los Angeles,"40,113","28,466"
,San Bernardino,"36,120","23,375"
District Totals,,"76,233","51,841"
,Percent,59.5%,40.5%
,,,
State Assembly District 60,,,
,Los Angeles,"27,487","17,771"
,Orange,"31,179","21,026"
,San Bernardino,"11,037","6,959"
District Totals,,"69,703","45,756"
,Percent,60.4%,39.6%
,,,
State Assembly District 61,,,
,Los Angeles,"12,876","8,553"
,San Bernardino,"26,953","17,738"
District Totals,,"39,829","26,291"
,Percent,60.2%,39.8%
,,,
State Assembly District 62,,,
,San Bernardino,"37,189","22,353"
District Totals,,"37,189","22,353"
,Percent,62.5%,37.5%
,,,
State Assembly District 63,,,
,Riverside,"1,374",828
,San Bernardino,"67,962","42,150"
District Totals,,"69,336","42,978"
,Percent,61.7%,38.3%
,,,
State Assembly District 64,,,
,Riverside,"74,015","43,667"
District Totals,,"74,015","43,667"
,Percent,62.9%,37.1%
,,,
State Assembly District 65,,,
,Riverside,"55,322","34,483"
,San Bernardino,"19,772","11,573"
District Totals,,"75,094","46,056"
,Percent,62.0%,38.0%
,,,
State Assembly District 66,,,
,Riverside,"52,594","31,509"
,San Diego,"14,066","12,731"
District Totals,,"66,660","44,240"
,Percent,60.1%,39.9%
,,,
State Assembly District 67,,,
,Orange,"74,117","48,114"
District Totals,,"74,117","48,114"
,Percent,60.6%,39.4%
,,,
State Assembly District 68,,,
,Orange,"52,661","34,565"
District Totals,,"52,661","34,565"
,Percent,60.4%,39.6%
,,,
State Assembly District 69,,,
,Orange,"27,277","17,899"
District Totals,,"27,277","17,899"
,Percent,60.4%,39.6%
,,,
State Assembly District 70,,,
,Orange,"82,896","55,683"
District Totals,,"82,896","55,683"
,Percent,59.8%,40.2%
,,,
State Assembly District 71,,,
,Orange,"52,117","34,135"
,Riverside,"25,454","14,974"
District Totals,,"77,571","49,109"
,Percent,61.2%,38.8%
,,,
State Assembly District 72,,,
,Orange,"58,030","41,483"
District Totals,,"58,030","41,483"
,Percent,58.3%,41.7%
,,,
State Assembly District 73,,,
,Orange,"47,370","30,197"
,San Diego,"25,359","15,852"
District Totals,,"72,729","46,049"
,Percent,61.2%,38.8%
,,,
State Assembly District 74,,,
,San Diego,"80,122","54,036"
District Totals,,"80,122","54,036"
,Percent,59.7%,40.3%
,,,
State Assembly District 75,,,
,San Diego,"84,153","57,465"
District Totals,,"84,153","57,465"
,Percent,59.4%,40.6%
,,,
State Assembly District 76,,,
,San Diego,"71,762","52,306"
District Totals,,"71,762","52,306"
,Percent,57.8%,42.2%
,,,
State Assembly District 77,,,
,San Diego,"67,135","55,372"
District Totals,,"67,135","55,372"
,Percent,54.8%,45.2%
,,,
State Assembly District 78,,,
,San Diego,"64,560","45,477"
District Totals,,"64,560","45,477"
,Percent,58.7%,41.3%
,,,
State Assembly District 79,,,
,San Diego,"39,505","27,852"
District Totals,,"39,505","27,852"
,Percent,58.7%,41.3%
,,,
State Assembly District 80,,,
,Imperial,"11,366","8,510"
,Riverside,"38,977","19,723"
District Totals,,"50,343","28,233"
,Percent,64.1%,35.9%
