Sum of Votes,,RaceOrder,RaceName,BallotOrder,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,401,,620,,621,,622,,623,,624,,625,,626,,627,,628,,629,,630,,631,,700,,Итого
,,State Measures - Referendum Measure No. 88,,State Measures - Initiative Measure No. 976,,Advisory Votes - Advisory Vote No. 20,,Advisory Votes - Advisory Vote No. 21,,Advisory Votes - Advisory Vote No. 22,,Advisory Votes - Advisory Vote No. 23,,Advisory Votes - Advisory Vote No. 24,,Advisory Votes - Advisory Vote No. 25,,Advisory Votes - Advisory Vote No. 26,,Advisory Votes - Advisory Vote No. 27,,Advisory Votes - Advisory Vote No. 28,,Advisory Votes - Advisory Vote No. 29,,Advisory Votes - Advisory Vote No. 30,,Advisory Votes - Advisory Vote No. 31,,Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200,,
,,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
DistrictNumber,DistrictName,Approved,Rejected,Yes,No,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Approved,Rejected,
19,LEGISLATIVE DISTRICT 19,13995,21783,25533,12629,27396,8985,25655,10865,28259,8181,15813,21260,27845,8193,25385,10746,25488,10644,28804,7918,21601,14779,28410,8031,24983,11305,20232,15995,20429,16406,547548
20,LEGISLATIVE DISTRICT 20,12427,27283,29821,11794,32124,7737,30118,9891,32725,7198,19224,21203,32518,7118,30312,9418,30140,9421,33427,6710,24647,14992,33261,6579,29416,10280,24499,15097,18882,21481,599743
21,LEGISLATIVE DISTRICT 21,18916,16901,19589,17876,21494,13408,19429,15604,20595,14093,10727,24722,20485,13764,17883,16662,17626,16782,20221,14754,14389,20087,21721,12700,18434,16047,13657,21008,24989,10859,525422
22,LEGISLATIVE DISTRICT 22,26065,19541,18539,28414,22834,20240,21729,21768,22436,20682,11376,32991,22559,20244,19237,23593,19343,23612,21993,21767,15482,27571,23025,20079,19995,22956,14500,28628,32618,12791,656608
23,LEGISLATIVE DISTRICT 23,22534,20302,19230,24994,23658,16982,21684,19377,24079,16604,11761,30014,23449,16677,20087,20082,19843,20320,22635,18342,16203,24343,24674,15909,20606,19831,15393,25155,29264,13216,617248
24,LEGISLATIVE DISTRICT 24,24742,26918,27092,26640,32146,17744,30358,20017,33649,16339,17799,33198,32484,16611,28821,20565,28516,20839,31872,18197,23003,26604,33476,16262,28602,20895,22089,27458,32319,18907,754162
25,LEGISLATIVE DISTRICT 25,13250,20640,25000,10188,24100,8883,22362,10661,24305,8700,13617,20013,24046,8650,21982,10837,21986,10799,24978,8222,17842,14905,25078,7802,21579,11159,17129,15573,19345,14022,497653
26,LEGISLATIVE DISTRICT 26,18247,25191,26056,18572,29088,12790,26574,15600,29023,12971,15352,27489,28890,12678,25818,15844,25543,16128,28864,13307,20455,21264,30042,11855,25853,15856,19932,21780,26192,16483,633737
27,LEGISLATIVE DISTRICT 27,20915,14496,18004,18347,17945,15630,18596,15215,17760,15946,9721,24823,17608,15660,15066,18453,15504,18006,17215,16703,12501,20889,18628,14866,15657,17752,11493,21986,25147,9324,509856
28,LEGISLATIVE DISTRICT 28,15682,17661,21987,12345,21559,10704,20198,12140,21669,10587,11777,21105,21422,10496,19256,12844,19177,12859,21707,10591,15850,16056,22503,9591,19512,12512,15128,16857,21446,11129,486350
