,,Turnout,,,,R-74,,,I-502,
"Legislative
District",,"Reg.
Voters","Ballots
Cast                   ",%,,App.,Rej.,,Yes,No
,,,,,,,,,,
Leg Dist 25,Pierce              ,77515,61190,79%,,27201,32418,,30237,29575
Leg Dist 25 Total,,77515,61190,79%,,27201,32418,,30237,29575
,,,,,,,,,,
Leg Dist 26,Kitsap              ,42852,34362,80%,,16888,16801,,18499,15300
,Pierce              ,42484,36636,86%,,17911,17800,,19195,16595
Leg Dist 26 Total,,85336,70998,83%,,34799,34601,,37694,31895
,,,,,,,,,,
Leg Dist 27,Pierce              ,76526,61357,80%,,36189,23456,,35985,23724
Leg Dist 27 Total,,76526,61357,80%,,36189,23456,,35985,23724
,,,,,,,,,,
Leg Dist 28,Pierce              ,74622,59608,80%,,28697,29065,,30978,26925
Leg Dist 28 Total,,74622,59608,80%,,28697,29065,,30978,26925
,,,,,,,,,,
Leg Dist 29,Pierce              ,61559,44714,73%,,21031,22412,,24022,19543
Leg Dist 29 Total,,61559,44714,73%,,21031,22412,,24022,19543
,,,,,,,,,,
Leg Dist 30,King                ,63708,49578,78%,,23765,24604,,25926,22358
,Pierce              ,3534,2806,79%,,1336,1394,,1423,1319
Leg Dist 30 Total,,67242,52384,78%,,25101,25998,,27349,23677
Leg Dist 31,King                ,25188,19760,78%,,8852,10467,,10062,9271
,Pierce              ,57550,45581,79%,,21116,23414,,23602,21109
Leg Dist 31 Total,,82738,65341,79%,,29968,33881,,33664,30380
,,,,,,,,,,
Leg Dist 32,King                ,45756,38500,84%,,25920,11558,,23605,13756
,Snohomish           ,38106,31371,82%,,17570,12866,,17398,13126
Leg Dist 32 Total,,83862,69871,83%,,43490,24424,,41003,26882
,,,,,,,,,,
Leg Dist 33,King                ,64732,50564,78%,,26534,22597,,28057,21073
Leg Dist 33 Total,,64732,50564,78%,,26534,22597,,28057,21073
,,,,,,,,,,
Leg Dist 34,King                ,87204,74509,85%,,53902,18885,,49818,22777
Leg Dist 34 Total,,87204,74509,85%,,53902,18885,,49818,22777
,,,,,,,,,,
Leg Dist 35,Kitsap              ,23639,19012,80%,,8907,9751,,10035,8655
,Mason               ,35268,28713,81%,,13498,14632,,15606,12602
,Thurston            ,26204,21661,83%,,11068,10080,,11457,9821
Leg Dist 35 Total,,85111,69386,82%,,33473,34463,,37098,31078
,,,,,,,,,,
Leg Dist 36,King                ,100019,88172,88%,,73039,13237,,64817,21058
Leg Dist 36 Total,,100019,88172,88%,,73039,13237,,64817,21058
,,,,,,,,,,
Leg Dist 37,King                ,80093,64508,81%,,45171,17312,,43250,18870
Leg Dist 37 Total,,80093,64508,81%,,45171,17312,,43250,18870
,,,,,,,,,,
Leg Dist 38,Snohomish           ,71563,54565,76%,,28313,24874,,29791,23570
Leg Dist 38 Total,,71563,54565,76%,,28313,24874,,29791,23570
,,,,,,,,,,
Leg Dist 39,King                ,332,290,87%,,153,131,,172,110
,Skagit              ,15899,12559,79%,,5520,6729,,6712,5617
,Snohomish           ,63411,49712,78%,,23006,25596,,26313,22537
Leg Dist 39 Total,,79642,62561,79%,,28679,32456,,33197,28264
,,,,,,,,,,
Leg Dist 40,San Juan            ,12019,10744,89%,,7395,2997,,7166,3328
,Skagit              ,31682,26479,84%,,13490,12229,,14198,11654
,Whatcom             ,40611,34774,86%,,23359,10276,,22303,11496
Leg Dist 40 Total,,84312,71997,85%,,44244,25502,,43667,26478
,,,,,,,,,,
Leg Dist 41,King                ,90606,77265,85%,,48091,26892,,43423,31472
Leg Dist 41 Total,,90606,77265,85%,,48091,26892,,43423,31472
Leg Dist 42,Whatcom             ,84874,69953,82%,,32429,35224,,35548,32413
Leg Dist 42 Total,,84874,69953,82%,,32429,35224,,35548,32413
,,,,,,,,,,
Leg Dist 43,King                ,95811,83076,87%,,73058,8307,,65177,15464
Leg Dist 43 Total,,95811,83076,87%,,73058,8307,,65177,15464
,,,,,,,,,,
Leg Dist 44,Snohomish           ,85352,69350,81%,,34668,32999,,35501,32454
